customer_id,age,monthly_spend,tenure_months,region,churned
1,58,75.17,16,South,0
2,65,71.18,58,North,0
3,23,54.65,2,South,0
4,44,73.27,15,West,0
5,18,50.65,28,East,0
6,66,38.22,22,North,1
7,40,21.15,47,West,0
8,42,27.99,6,East,0
9,54,52.69,43,South,0
10,32,57.1,56,North,0
11,41,59.78,43,East,0
12,22,65.99,39,South,0
13,47,6.12,41,South,0
14,67,91.49,4,South,0
15,43,48.47,37,East,0
16,59,63.68,30,South,0
17,53,17.83,28,West,0
18,26,41.96,33,West,1
19,25,56.77,44,West,0
20,56,59.68,30,East,0
21,18,45.82,57,East,0
22,36,41.07,28,South,0
23,64,48.02,12,North,0
24,58,73.48,33,South,0
25,52,93.31,59,North,0
26,25,36.97,60,East,0
27,37,50.98,37,North,1
28,22,64.82,49,South,0
29,53,62.45,39,West,0
30,66,71.09,47,South,0
31,60,37.36,34,West,0
32,,32.64,2,South,0
33,63,40.2,58,North,0
34,33,39.42,18,West,0
35,54,36.76,31,West,0
36,45,43.12,23,West,0
37,21,23.33,7,North,1
38,24,5,16,South,0
39,45,59.05,56,North,0
40,53,70.37,7,North,0
41,18,94.82,55,South,0
42,31,41.16,56,West,0
43,18,65.63,51,West,0
44,64,48.55,51,West,0
45,21,28.03,48,East,1
46,50,38.07,59,South,1
47,29,56.82,56,South,0
48,54,53.13,16,North,0
49,55,34.0,17,South,0
50,34,43.05,26,South,0
51,38,92.28,1,West,0
52,24,29.79,5,South,1
53,40,80.13,24,East,0
54,63,22.01,20,North,0
55,60,82.65,17,North,0
56,27,74.86,18,East,0
57,31,35.01,33,West,0
58,21,13.82,6,West,1
59,26,39.85,48,West,0
60,18,38.17,8,North,0
61,27,13.61,38,South,0
62,41,39.28,58,North,0
63,33,40.68,36,West,0
64,33,33.8,56,South,0
65,44,82.27,22,West,0
66,69,55.07,16,East,0
67,42,77.47,15,South,0
68,37,21.53,53,South,0
69,43,31.12,50,East,0
70,61,85.24,54,East,0
71,34,72.24,17,North,0
72,64,96.18,51,East,0
73,,30.31,17,North,0
74,69,67.32,35,South,0
75,60,74.55,43,North,0
76,37,36.66,43,West,0
77,53,64.56,25,South,0
78,53,64.98,54,North,0
79,68,24.44,30,West,0
80,48,35.95,51,South,0
81,60,37.87,53,South,0
82,30,36.6,10,North,1
83,57,54.56,27,South,0
84,,43.7,16,South,0
85,66,76.63,50,West,0
86,62,17.99,34,West,1
87,25,15.38,43,East,0
88,57,59.72,53,West,0
89,28,49.1,17,South,0
90,67,27.32,34,West,0
91,22,46.68,22,East,0
92,27,35.76,15,West,0
93,22,34.58,30,West,1
94,42,59.14,58,North,0
95,42,5,20,West,0
96,44,56.89,35,South,0
97,49,67.8,44,West,0
98,26,53.28,40,North,0
99,60,78.28,9,West,0
100,38,54.86,14,West,0
101,42,41.32,27,East,0
102,65,98.38,35,North,0
103,59,95.63,3,North,0
104,19,70.99,40,South,0
105,25,37.09,45,East,0
106,56,44.51,48,North,0
107,37,53.55,20,West,0
108,22,52.87,38,South,0
109,61,41.8,37,North,0
110,41,44.01,5,East,1
111,49,90.11,41,West,0
112,64,81.33,34,East,0
113,67,28.72,47,East,0
114,23,52.21,18,West,0
115,57,41.09,32,East,0
116,69,34.23,17,East,0
117,35,27.35,13,North,0
118,53,41.72,49,South,0
119,49,46.47,19,South,0
120,60,51.19,38,East,0
121,45,75.28,23,West,0
122,25,49.46,47,South,0
123,66,45.21,48,West,0
124,66,37.87,34,East,0
125,36,51.77,1,South,0
126,53,62.45,19,South,0
127,24,68.21,31,West,0
128,21,31.26,17,West,0
129,49,75.18,4,South,0
130,37,62.65,6,South,0
131,56,27.15,50,West,0
132,55,34.23,28,East,0
133,65,77.54,41,South,0
134,33,69.81,12,North,0
135,62,36.2,15,East,0
136,47,40.77,5,South,0
137,58,19.49,13,West,0
138,27,30.7,59,East,0
139,28,57.12,53,East,0
140,37,24.07,45,West,0
141,49,25.04,57,West,0
142,19,60.29,6,South,0
143,54,46.5,49,East,0
144,29,47.87,31,West,0
145,55,16.24,6,West,1
146,60,64.39,7,South,0
147,36,39.44,49,North,0
148,38,32.75,8,West,0
149,18,36.29,27,North,0
150,66,29.08,32,West,0
151,53,61.21,57,West,0
152,56,62.09,52,South,0
153,18,41.63,54,North,0
154,27,47.15,32,East,0
155,48,64.83,36,South,0
156,50,48.15,48,South,0
157,68,61.12,51,East,0
158,37,35.56,54,West,0
159,48,35.74,35,West,0
160,30,70.95,45,South,0
161,67,35.18,31,West,0
162,70,59.31,42,South,0
163,50,67.54,7,West,1
164,18,46.12,47,South,0
165,27,81.1,17,East,0
166,23,65.8,55,East,0
167,42,76.92,57,West,0
168,22,42.02,16,East,0
169,45,83.49,46,North,0
170,19,45.41,3,East,0
171,41,36.43,27,South,0
172,42,56.31,40,South,0
173,32,35.14,17,North,0
174,36,53.7,44,South,1
175,55,34.45,45,East,0
176,42,98.73,55,West,0
177,40,5,19,North,0
178,35,21.59,1,North,0
179,36,52.33,52,East,0
180,34,35.72,44,South,0
181,59,84.18,3,East,0
182,36,58.64,21,West,0
183,52,63.62,33,East,0
184,70,36.63,31,East,0
185,25,42.24,49,South,0
186,43,51.56,55,East,1
187,34,28.55,44,East,0
188,41,44.98,7,South,0
189,53,37.08,42,North,0
190,62,74.22,20,West,0
191,20,42.2,7,South,0
192,47,71.95,24,West,0
