customer_id,tenure_months,monthly_spend,support_tickets,num_products,contract_type,churned
1,42,83.72,0,1,monthly,0
2,8,51.94,8,2,monthly,1
3,54,69.87,6,1,monthly,0
4,8,64.63,6,1,monthly,1
5,18,56.56,1,5,annual,0
6,24,73.52,1,5,monthly,0
7,71,52.4,3,4,annual,0
8,60,28.68,7,3,annual,1
9,24,54.11,4,5,annual,0
10,58,42.25,4,5,monthly,1
11,54,71.65,7,4,monthly,0
12,10,79.69,8,5,annual,0
13,45,32.7,7,1,monthly,0
14,61,41.6,1,1,annual,0
15,58,54.68,5,1,annual,0
16,15,84.1,7,1,monthly,0
17,17,58.16,7,1,monthly,1
18,71,34.88,4,2,annual,0
19,36,40.16,6,2,monthly,1
20,20,10,3,2,monthly,0
21,24,59.82,6,5,annual,0
22,41,62.26,2,5,monthly,0
23,72,40.32,1,4,annual,0
24,9,75.79,3,4,monthly,1
25,7,85.87,8,1,annual,0
26,10,79.4,3,5,annual,0
27,33,92.63,7,1,monthly,0
28,60,50.62,7,4,annual,1
29,14,59.92,7,2,monthly,1
30,68,18.94,5,2,monthly,0
31,39,109.42,4,5,annual,0
32,46,53.28,3,5,annual,0
33,25,75.93,3,2,annual,0
34,4,16.66,0,3,annual,1
35,45,10,5,3,monthly,1
36,30,79.14,7,2,annual,0
37,1,23.93,1,1,annual,0
38,26,64.68,7,2,annual,0
39,43,111.68,6,4,annual,0
40,11,91.33,2,2,monthly,1
41,60,64.89,7,3,monthly,0
42,17,46.82,0,1,monthly,0
43,18,13.65,3,1,annual,0
44,65,80.47,3,5,annual,0
45,54,64.47,5,4,annual,0
46,65,52.35,2,5,monthly,0
47,3,90.18,0,2,monthly,1
48,16,28.98,8,1,annual,0
49,68,18.84,1,5,monthly,1
50,36,45.05,0,1,annual,0
51,9,27.74,8,5,monthly,0
52,58,72.02,8,5,annual,0
53,32,43.96,4,5,monthly,0
54,18,11.45,6,1,annual,1
55,10,47.43,3,3,monthly,0
56,20,36.74,5,2,annual,0
57,60,71.72,6,4,monthly,0
58,29,120.59,2,4,annual,0
59,26,53.17,5,1,annual,0
60,57,68.62,0,4,annual,0
61,38,50.91,3,1,monthly,1
62,6,59.3,2,3,monthly,0
63,34,34.25,8,5,annual,0
64,12,77.28,4,1,monthly,1
65,10,59.45,1,3,monthly,0
66,29,64.57,1,3,monthly,0
67,44,85.99,4,5,monthly,1
68,31,59.07,1,2,annual,0
69,26,92.05,8,2,annual,0
70,23,45.47,4,3,monthly,0
71,5,100.44,8,2,annual,1
72,58,63.91,1,4,annual,0
73,51,81.07,3,2,annual,0
74,18,56.02,6,3,monthly,0
75,2,97.1,4,4,monthly,1
76,49,77.66,8,3,monthly,0
77,6,45.83,7,1,annual,0
78,43,63.69,8,3,monthly,1
79,40,63.19,5,4,monthly,1
80,65,75.57,3,2,monthly,1
81,12,80.56,6,1,annual,0
82,30,86.12,1,5,monthly,0
83,50,63.59,7,2,annual,0
84,19,20.23,0,5,annual,0
85,65,79.51,8,5,monthly,0
86,30,83.38,1,1,monthly,1
87,47,83.52,7,5,monthly,0
88,69,53.88,3,4,annual,1
89,9,59.68,8,1,monthly,0
90,61,30.44,4,1,annual,1
91,27,64.37,7,4,annual,1
92,37,95.96,0,5,monthly,1
93,19,42.16,4,5,monthly,1
94,8,91.61,7,3,monthly,0
95,63,52.35,7,4,annual,0
96,71,89.15,3,3,monthly,0
97,3,57.55,8,4,annual,1
98,27,69.66,1,5,monthly,1
99,68,58.25,8,3,monthly,0
100,30,83.54,7,4,annual,1
101,1,95.97,6,3,monthly,1
102,49,48.3,5,1,annual,1
103,44,66.71,3,1,annual,0
104,9,49.29,6,4,monthly,1
