date,product,price,units_sold,competitor_price,is_holiday_season
2024-01-01,Candle A,19.23,35,16.95,0
2024-01-02,Candle A,19.23,28,19.73,0
2024-01-03,Candle A,19.23,39,17.49,0
2024-01-04,Candle A,19.23,30,18.27,0
2024-01-05,Candle A,19.23,35,18.17,0
2024-01-06,Candle A,19.23,30,20.58,0
2024-01-07,Candle A,19.23,28,19.14,0
2024-01-08,Candle A,19.23,27,19.77,0
2024-01-09,Candle A,19.23,22,20.7,0
2024-01-10,Candle A,19.23,28,19.92,0
2024-01-11,Candle A,19.23,30,17.49,0
2024-01-12,Candle A,19.23,23,18.44,0
2024-01-13,Candle A,19.23,33,17.35,0
2024-01-14,Candle A,19.23,25,20.11,0
2024-01-15,Candle A,19.23,27,20.75,0
2024-01-16,Candle A,19.23,19,18.81,0
2024-01-17,Candle A,19.23,19,20.43,0
2024-01-18,Candle A,19.23,34,20.75,0
2024-01-19,Candle A,19.23,32,17.62,0
2024-01-20,Candle A,19.23,32,21.09,0
2024-01-21,Candle A,19.23,27,18.97,0
2024-01-22,Candle A,17.7,27,19.26,0
2024-01-23,Candle A,17.7,36,17.1,0
2024-01-24,Candle A,17.7,39,19.32,0
2024-01-25,Candle A,17.7,51,18.43,0
2024-01-26,Candle A,17.7,38,19.66,0
2024-01-27,Candle A,17.7,47,18.39,0
2024-01-28,Candle A,17.7,50,19.56,0
2024-01-29,Candle A,17.7,35,19.32,0
2024-01-30,Candle A,17.7,39,16.54,0
2024-01-31,Candle A,17.7,38,19.03,0
2024-02-01,Candle A,17.7,40,15.95,0
2024-02-02,Candle A,17.7,44,19.12,0
2024-02-03,Candle A,17.7,42,18.9,0
2024-02-04,Candle A,17.7,44,17.34,0
2024-02-05,Candle A,17.7,45,18.78,0
2024-02-06,Candle A,17.7,49,19.19,0
2024-02-07,Candle A,17.7,44,15.88,0
2024-02-08,Candle A,17.7,37,18.57,0
2024-02-09,Candle A,17.7,51,19.62,0
2024-02-10,Candle A,17.7,46,17.72,0
2024-02-11,Candle A,17.7,42,16.01,0
2024-02-12,Candle A,17.86,45,18.1,0
2024-02-13,Candle A,17.86,41,18.3,0
2024-02-14,Candle A,17.86,50,16.48,0
2024-02-15,Candle A,17.86,43,17.12,0
2024-02-16,Candle A,17.86,44,19.69,0
2024-02-17,Candle A,17.86,38,17.7,0
2024-02-18,Candle A,17.86,36,17.94,0
2024-02-19,Candle A,17.86,35,18.1,0
2024-02-20,Candle A,17.86,46,18.34,0
2024-02-21,Candle A,17.86,38,17.58,0
2024-02-22,Candle A,17.86,41,18.74,0
2024-02-23,Candle A,17.86,45,19.77,0
2024-02-24,Candle A,17.86,40,17.94,0
2024-02-25,Candle A,17.86,40,17.52,0
2024-02-26,Candle A,17.86,47,18.18,0
2024-02-27,Candle A,17.86,41,18.39,0
2024-02-28,Candle A,17.86,37,16.1,0
2024-02-29,Candle A,17.86,37,18.58,0
2024-03-01,Candle A,17.86,38,17.27,0
2024-03-02,Candle A,17.86,33,15.95,0
2024-03-03,Candle A,17.86,35,16.1,0
2024-03-04,Candle A,18.19,29,16.86,0
2024-03-05,Candle A,18.19,36,18.56,0
2024-03-06,Candle A,18.19,42,17.44,0
2024-03-07,Candle A,18.19,34,17.67,0
2024-03-08,Candle A,18.19,36,17.7,0
2024-03-09,Candle A,18.19,44,19.28,0
2024-03-10,Candle A,18.19,39,19.13,0
2024-03-11,Candle A,18.19,40,17.43,0
2024-03-12,Candle A,18.19,47,17.14,0
2024-03-13,Candle A,18.19,31,16.94,0
2024-03-14,Candle A,18.19,41,16.6,0
2024-03-15,Candle A,18.19,33,17.48,0
2024-03-16,Candle A,18.19,46,17.94,0
2024-03-17,Candle A,18.19,40,19.61,0
2024-03-18,Candle A,18.19,42,18.79,0
2024-03-19,Candle A,18.19,35,19.73,0
2024-03-20,Candle A,18.19,39,16.67,0
2024-03-21,Candle A,18.19,41,18.31,0
2024-03-22,Candle A,18.19,46,19.54,0
2024-03-23,Candle A,18.19,36,16.92,0
2024-03-24,Candle A,18.19,47,18.76,0
2024-03-25,Candle A,17.04,36,19.42,0
2024-03-26,Candle A,17.04,49,18.22,0
2024-03-27,Candle A,17.04,44,16.12,0
2024-03-28,Candle A,17.04,51,16.72,0
2024-03-29,Candle A,17.04,50,16.68,0
2024-03-30,Candle A,17.04,46,15.06,0
2024-03-31,Candle A,17.04,58,18.81,0
